Timestamp,What year are you in?,How would you rate yourself on a scale of 10 from 1 (introvert) to 10 (extrovert),How many texts do you send per day?,"Are you left-handed, right-handed or both?",What position do you sleep in?,How many hours of sleep do you get?,How many siblings do you have?,"What pets do you have? If more than one, separate with commas.",Make up a very random 4-digit number,Do you have a tattoo?,How do you get to work or school?
9/28/2023 15:00:26,First,7,100,Right,Stomach,6,0,none,1687,No,Bus
9/28/2023 15:12:34,Second,7,50,Right,Back,8,1,None,1028,No,Bike
9/28/2023 15:16:12,First,3,over 100,Left,Left side,7,2,fish,4632,No,walk
9/28/2023 15:18:32,First,5,35,Right,Right side,8,1,"Cat, Dog",3848,No,Bike
9/28/2023 15:28:10,First,2,100+,Right,Right side,8,1,I don't have any,2735,No,walk
9/28/2023 15:33:39,Second,5,3~4,Right,Back,8,0,No,1015,No,Bus
9/28/2023 15:38:36,First,7,50 ish,Right,Stomach,8,1,2,6757,No,Bike
9/28/2023 15:40:01,Second,6,30+,Right,Stomach,7,3,0,1083,No,Bike
9/28/2023 15:42:55,First,3,50,Left,Stomach,8,3,Dogs,8993,No,walk
9/28/2023 15:52:59,Second,3,50,Right,Back,6,1,one dog,7480,No,walk
9/28/2023 15:55:38,Third,2,,Right,Left side,4-5,3,dogs,9304,No,Car
9/28/2023 15:57:57,Third,4,50,Right,Back,9-10,2,None,7336,No,Bus
9/28/2023 16:00:50,Fourth,9,25,Right,Left side,7,2,0,6743,No,walk
9/28/2023 16:01:19,First,6,Over 15,Right,Right side,5-6 hours,2,"A cat, 3 dogs, a lizard, and a hamster",6022,No,walk
9/28/2023 16:03:02,First,5,99+,Right,Left side,8h,3,Dog and cats,1234,No,Bus
9/28/2023 16:06:33,First,7,"Definitely a lot, maybe over 100.",Right,Left side,6-7,1 younger sister@,None,6486,No,Bike
9/28/2023 16:06:40,Second,4,0,Right,Back,8,1,None,1239,No,walk
9/28/2023 16:06:51,Fourth,4,45,Right,Right side,8,1,3 dogs,4395,No,Bike
9/28/2023 16:07:20,Second,7,200+,Right,Back,8,2,1 dog,8952,No,walk
9/28/2023 16:12:15,Second,8,It varies I would guess 3-10,Left,Back,6-7 on average,3,,6809,No,walk
9/28/2023 16:13:55,First,8,more than 100,Right,Right side,8,0,0,0821,No,Bus
9/28/2023 16:16:20,First,5,40-50,Right,Stomach,7-8,1,1,1235,No,Bike
9/28/2023 16:19:21,First,3,162,Right,Right side,7,1,"Cat, puppy ",3946,No,walk
9/28/2023 16:39:10,Second,2,20,Right,Right side,7,1,0,4297,No,walk
9/28/2023 16:47:36,Second,8,40,Right,Right side,7,1,Dog,6541,No,walk
9/28/2023 16:48:21,First,5,75,Right,Right side,7,3,2 dogs ,5826,No,walk
9/28/2023 17:00:46,First,4,200,Left,Left side,8,1,3,4853,No,walk
9/28/2023 17:01:37,First,3,150,Left,Left side,8,1,3,0837,No,walk
9/28/2023 17:26:09,First,3,5,Right,Left side,8,0,"Cat, cat. ",5679,No,Bike
9/28/2023 17:33:48,First,3,10,Right,Left side,6,2,none,4327,No,walk
9/28/2023 18:00:33,Second,6,20,Right,Stomach,9,2,1,4444,No,Bike
9/28/2023 18:18:54,First,7,80,Right,Right side,7,2,none,5876,No,Bike
9/28/2023 18:33:50,Fourth,7,50,Right,Right side,7.5,1,dog,1212,Yes,Bike
9/28/2023 18:34:43,Fourth,7,50,Right,Right side,7.5,1,dog,1212,Yes,walk
9/28/2023 19:02:48,First,7,probably like 100+,Right,Back,7-9,2,0,1234,No,Bike
9/28/2023 19:03:23,First,7,100+,Right,Back,7-9,2,0,1234,No,Bike
9/28/2023 19:22:56,Second,4,15,Right,Stomach,7,4,"dog, cat",3985,No,walk
9/28/2023 19:42:11,Fourth,7,,Right,Stomach,6,1,0,2037,No,Car
9/28/2023 19:42:59,Fourth,7,33,Right,Stomach,6,1,0,1569,No,Car
9/28/2023 19:43:45,Fourth,7,33,Right,Stomach,6,1,0,5900,No,Car
9/28/2023 19:50:51,First,6,40,Right,Left side,7,1,Dog - Chico,8937,No,walk
9/28/2023 19:54:58,First,6,40,Right,Left side,7,1,Dog - Chico,8937,No,walk
9/28/2023 20:13:28,First,5,50+,Right,Stomach,5-7,4,0,1606,Yes,Car
9/28/2023 20:23:48,Second,2,0,Right,Back,8,1,0,2489,No,walk
9/28/2023 20:38:22,Second,8,100,Right,Back,7,4,Dog,4791,No,walk
9/28/2023 20:47:16,First,4,5,Right,Left side,8,0,Two cats,5679,No,Bike
9/28/2023 20:58:48,Second,5,80,Right,Left side,6-8,4,I have 5 dogs ,1215,Yes,walk
9/28/2023 21:02:16,First,7,25,Left,Left side,8,1,1 cat,2005,No,Bike
9/28/2023 21:07:09,First,7,About 80,Right,Stomach,8,0,"Dogs, fish",8362,No,walk
9/28/2023 21:16:07,Second,4,,Right,Left side,8,2,"dog, dog",6607,No,walk
9/28/2023 21:17:10,Second,4,,Right,Left side,8,2,dog,5437,No,walk
9/28/2023 21:20:05,First,7,200,Right,Left side,8,4,"2 cats, 2 dogs",3579,No,walk
9/28/2023 21:29:46,First,2,15,Right,Stomach,8,0,0,1217,No,Bus
9/28/2023 22:02:56,Second,6,50,Right,Left side,8-9,1,"Scottish fold cat, adopted Cyprus cat, and a Shih-Tzu",7482,No,Car
9/28/2023 22:29:59,First,2,40,Right,Right side,8 hours,4,0,6018,No,Bus
9/28/2023 23:29:51,Second,3,About 15,Right,Back,7 hours,1,Two cats: Aster and May,1835,No,Bus
9/28/2023 23:56:42,First,7,100,Right,Stomach,7,0,0,1687,No,Bus
9/29/2023 0:25:03,First,7,,Right,Back,7,3,,1872,Yes,walk
9/29/2023 8:25:29,First,7,101,Right,Right side,9,1,"Dog, Dog, Dog, Bird",1746,Yes,walk
9/29/2023 8:26:17,First,7,110,Right,Right side,9,1,"Dog, Dog, Dog, Bird",1746,Yes,walk
9/29/2023 8:44:23,First,4,5,Right,Right side,6,3,"Dogs, Cats",7982,Yes,Bike
9/29/2023 8:56:34,First,6,50,Right,Left side,7,2,dog,9419,No,Bike
9/29/2023 9:04:08,First,8,10-15,Right,Left side,8-10,2,0,5687,No,skate
9/29/2023 10:54:06,First,8,250,Right,Back,6,5,Dog,6082,No,Bike
9/29/2023 10:55:51,First,8,250,Right,Back,6,5,Dog,6028,No,Bike
9/29/2023 11:02:05,Third,3,30,Right,Right side,8,1,"dog, cat",9746,No,Bike
9/29/2023 11:05:20,First,7,20,Right,Left side,7,1,one labradoodle!,7420,No,Bike
9/29/2023 11:05:54,First,7,200,Both,Right side,7,0,One dog,5789,No,walk
9/29/2023 11:17:38,Fourth,6,100+,Right,Back,8,2,Dog,4821,No,Bike
9/29/2023 11:57:49,Third,8,30,Right,Back,8,0,dog ,6392,No,Bike
9/29/2023 13:05:29,First,3,100,Right,Back,9,1,1,1738,No,Bike
9/29/2023 13:06:41,First,2,150,Right,Back,9,1,1,1738,No,Bike
9/29/2023 13:38:43,Second,3,200,Right,Right side,6,2,0,8658,No,walk
9/29/2023 13:54:20,Fourth,8,30,Right,Right side,7,1,Dog,2955,No,Bike
9/29/2023 13:55:51,Third,9,50,Right,Stomach,7,1,Cats,2222,No,Bike
9/29/2023 14:26:58,First,2,4-5,Both,Left side,8,0,,6738,No,Bus
9/29/2023 15:15:22,First,3,100,Right,Right side,8:15,1,1,1864,No,Bike
9/29/2023 15:48:31,First,3,100,Right,Left side,7,1,0,7452,No,Bus
9/29/2023 16:12:39,First,5,80,Right,Left side,8,1,dog,7462,No,Bus
9/29/2023 16:43:49,First,3,100,Right,Left side,7,1,0,2740,No,Bus
9/29/2023 17:08:17,First,4,,Right,Back,8,1,none,1786,No,walk
9/29/2023 17:27:30,,3,30,Right,Left side,6,1,,1568,No,Bike
9/29/2023 17:29:04,,3,30,Right,Left side,7,1,,2589,No,Bike
9/29/2023 18:14:43,First,7,20,Right,Left side,8,2,Dog,7134,No,Car
9/29/2023 20:23:55,Second,10,100,Right,Right side,6,0,Leopard Geckos,1416,No,Bike
9/30/2023 1:33:13,Third,1,1000,Left,Left side,4-6,1,None,4226,No,Bus
9/30/2023 10:56:02,First,5,100-200,Both,Back,6-8,0,dog,1234,No,walk
9/30/2023 12:03:27,Second,6,5,Right,Back,6,6,"Dog, dog, cat",1220,No,Car
9/30/2023 12:07:50,First,8,100,Right,Right side,10,2,,1639,No,walk
9/30/2023 12:25:41,First,6,more than 100,Right,Right side,8,0,0,0821,No,Bus
9/30/2023 12:28:01,First,6,More than 100,Right,Right side,8,0,0,0821,No,Bus
9/30/2023 14:23:45,First,6,50,Right,Left side,8,0,None,4100,No,Bike
9/30/2023 14:59:47,Fourth,1,30,Right,Left side,8,0,1,1024,Yes,Bike
9/30/2023 15:00:39,First,8,Around 30,Right,Right side,6-8,2,0,2709,No,walk
9/30/2023 15:00:41,Fourth,1,30,Right,Right side,8,0,1,1024,Yes,Bike
9/30/2023 16:28:26,First,8,~20,Right,Back,7-8,1,"dog, fish, fish",0202,No,Bus
9/30/2023 19:29:04,First,5,20,Right,Left side,8,2,1,3528,No,walk
9/30/2023 22:06:33,Second,4,100,Right,,,1,,4826,No,Bike
9/30/2023 22:10:52,Second,2,100,Right,Left side,6,3,"cat, cat, cat",9580,No,Bike
9/30/2023 22:43:34,First,5,,Left,Right side,8,1,1 cat,5763,No,walk
9/30/2023 23:34:32,First,7,5,Left,Right side,7,1,0,2853,No,walk
9/30/2023 23:41:50,First,7,100+,Right,Left side,7,1,One cat ,9257,No,Bike
9/30/2023 23:43:04,First,7,100+,Right,Left side,7,1,My cat rakku ,9728,No,Bike
10/1/2023 10:05:10,Fourth,8,0,Right,Right side,7,0,0,2333,No,Bus
10/1/2023 11:49:01,Fourth,4,70? Maybe more.,Right,Right side,7 or 8,0,"Dog, dog, cat",7190,No,walk
10/1/2023 13:12:33,Fourth,1,4,Right,Stomach,6,1,,1065,No,Bike
10/1/2023 13:44:58,Second,7,50,Right,Stomach,6,4,"dog, dog",9653,No,walk
10/1/2023 14:39:08,First,2,2,Right,Right side,7,2,none,4613,No,walk
10/1/2023 15:39:57,First,4,50,Right,Back,8,3,A teddy bear dog,2076,No,Bus
10/1/2023 15:56:20,First,8,2-10,Left,Back,6-8,3,0,4444,No,walk
10/1/2023 15:57:26,First,8,2-10,Left,Back,6-8,3,,4444,No,walk
10/1/2023 16:24:53,Third,3,20,Right,Stomach,9,2,cat,2401,No,Car
10/1/2023 16:42:15,Second,3,100,Right,Back,8,1,"a dog, a turtle",8888,No,Car
10/1/2023 17:08:08,First,7,20,Right,Left side,7,1,one labradoodle,7420,No,Bike
10/1/2023 17:56:24,First,8,Around 10-20,Right,Left side,Arond 7-8,1,No pets :(,1314,Yes,Bike
10/1/2023 17:59:08,First,2,20,Both,Back,9,1,2 Dogs,8239,No,walk
10/1/2023 18:28:44,Second,5,8,Right,Right side,9,3,dog,8877,No,walk
10/1/2023 21:46:58,First,6,more than 100,Right,Right side,8,0,0,0821,No,Bus
10/1/2023 22:19:24,First,3,35,Right,Back,6,1,,5739,No,Bike
10/1/2023 22:37:06,First,3,around 20,Both,Left side,6.5,0,a dog,1324,No,Bus
10/1/2023 22:38:17,,3,20,Both,Left side,6.5,0,dog,0609,No,Bus
10/1/2023 23:38:40,Second,3,200+,Right,Left side,5-6 hours,2,none,4117,No,walk
10/2/2023 0:21:24,Second,8,10-20,Left,Left side,7-9,,2 dogs,1984,No,Bike
10/2/2023 11:54:00,First,5,10,Right,Left side,8-10,3,Don’t have any pets,8174,No,Bus
10/2/2023 12:11:02,Third,4,40,Right,Left side,8,3,,1453,Yes,Car
10/2/2023 12:39:59,Third,8,100,Right,Left side,8,1,none,3063,No,Bike
10/2/2023 13:07:24,Third,8,200,Right,Left side,10,1,No,8789,No,Bike
10/2/2023 13:39:07,Third,4,50-60,Right,Back,9-10,2,,7637,No,Bus
10/2/2023 14:30:56,First,8,20,Right,Right side,7,1,"2 dogs, 3 cats",8293,No,Bike
10/2/2023 14:34:11,First,8,20,Right,Left side,6,1,"2 dogs, 3 cats",7642,No,Bike
10/2/2023 14:41:20,First,7,9-10,Right,Back,7-9,3,cat,5678,No,Bike
10/2/2023 14:56:25,Third,6,15?,Right,Back,8,0,0,2222,No,walk
10/2/2023 15:13:26,Fourth,4,70,Right,Back,7,2,Dog,7654,No,walk
10/2/2023 15:20:05,First,4,80,Right,Left side,9,5,1,1356,No,Bike
10/2/2023 15:23:57,Fourth,4,50,Right,Back,7,2,Dog,7654,No,walk
10/2/2023 17:52:08,Fourth+,4,30,Right,Back,8,1,,8459,No,walk
10/2/2023 18:07:16,First,9,Maybe hundreds? No more than a thousand,Right,Back,Usually 7 to 8 hours,One brother,None,1234,No,walk
10/2/2023 18:53:38,Second,3,17,Right,Right side,7-9,5,"dog, birds",6972,Yes,skate
10/2/2023 20:24:41,Fourth,6,200,Right,Left side,6,1,,0310,No,Bike
10/2/2023 20:50:57,Third,8,40,Right,Stomach,6,2,none,1027,No,Car
10/2/2023 22:51:17,Fourth,8,Maybe WeChat over 300? But text 0,Right,Left side,7,1,"Cat, dog",9472,No,Bike
10/2/2023 22:51:41,,,,,,,,,,,
10/2/2023 23:08:12,Second,7,many,Right,Left side,7,2,dog,1989,No,Bike
10/2/2023 23:22:56,First,8,A lot,Right,,8,1,One cat,1437,No,walk
10/3/2023 9:29:48,Fourth,4,6~7,Right,Right side,7-8 hours,1 younger brother,No pets,0207,No,Bus
10/3/2023 10:44:21,Fourth,8,3,Right,Right side,7,0,0,2333,No,Bus
10/3/2023 10:45:17,Fourth,8,0,Right,Right side,7.5,0,0,2341,No,Bus
10/3/2023 13:28:44,First,3,2,Right,Stomach,8,2,None,1032,No,walk
10/3/2023 13:30:16,Second,7,5,Right,Right side,8,1,"I have three dogs, and two cats",6479,Yes,Bike
10/3/2023 13:32:30,First,8,7,Right,Stomach,7,1,N/A,1432,No,Bike
10/3/2023 13:58:27,First,3,12,Right,Right side,6,2,none,4328,No,walk
10/3/2023 14:03:46,Second,4,20,Right,Left side,6-8,2,0,8800,No,walk
10/3/2023 14:10:48,First,3,15,Right,Back,7,1,1,1738,No,walk
10/3/2023 14:11:34,Second,2,20,Right,Back,9,1,dog,9583,No,walk
10/3/2023 14:39:55,Fourth,3,50,Right,Left side,8,0,"one cat, one dog",1719,Yes,Car
10/3/2023 14:52:26,First,7,40,Right,Right side,8,1,none,6209,No,walk
10/3/2023 15:35:43,Second,2,20,Right,Right side,7,1,None,2974,No,walk
10/3/2023 15:45:18,Fourth,3,,Right,Right side,8,1,0,0382,No,Bike
10/3/2023 15:46:33,Fourth,7,4,Right,Stomach,7-8,1,cat,3223,No,walk
10/3/2023 15:47:49,Second,7,Oh god I dunno 😭 I suck at texting consistently though my object permanence is horrendous,Right,Right side,4-6 (currently reworking the good ol’ sleep schedule I swear),1,1 Dog (my good boy),2937 (i hit the keyboard with wild abandon),No,Bike
10/3/2023 16:26:21,Second,8,50,Right,Stomach,6,1,0,3927,No,walk
10/3/2023 16:44:43,First,9,50,Right,Left side,8,2,None,9023,No,walk
10/3/2023 16:46:05,First,9,50,Right,Left side,8,2,none,9213,No,walk
10/3/2023 17:28:46,Second,1,20+,Right,Right side,try to reach 9hours ,1,goldfish ,2779,No,walk
10/3/2023 19:20:13,Second,3,,Right,Back,,4,0,6732,No,walk
10/3/2023 20:14:26,First,5,40,Right,Right side,9,1,none,2830,No,Bike
10/3/2023 22:00:47,Fourth,6,200,Right,Left side,6,1,0,0310,No,Bike
10/3/2023 22:02:13,Third,7,29,Right,Right side,9,0,Dog,6851,No,Car
10/3/2023 22:03:16,Third,7,29,Right,Right side,9,0,Dog,6851,No,Car
10/3/2023 22:32:06,Fourth,3,20,Right,Back,9,0,1,7361,Yes,Bike
10/4/2023 11:13:16,Second,6,100,Right,Stomach,7,1,1 dog,6834,No,walk
10/4/2023 11:47:06,Fourth,6,20,Right,Right side,8-10,4,2 cats,9181,No,Car
10/4/2023 12:19:54,Fourth,1,50,Left,Stomach,8,2,"Dogs, Cats",1715,No,Car
10/4/2023 12:46:39,Third,10,100+,Right,Right side,8,1,Dog ,2765,No,Bike
10/4/2023 13:42:54,Second,6,,Right,Left side,6-7,1,0,1717,No,Bike
10/4/2023 14:29:47,First,4,80,Right,Left side,9,5,1,1356,No,walk
10/4/2023 15:06:05,Third,8,30,Right,Back,8,0,Dog,1203,No,Bike
10/4/2023 15:17:57,Second,8,120,Right,Stomach,6-7,2,0,9935,Yes,walk to school and drive to work
10/4/2023 15:48:50,Third,8,50,Right,Stomach,7,1,cats,2002,No,Bike
10/4/2023 16:04:43,First,4,200+,Right,Right side,8,1,N/a,2005,No,Bike
10/4/2023 16:12:59,Second,5,~20,Right,Left side,8,2,None,1234,No,walk
10/4/2023 16:14:01,Fourth,5,20,Right,Left side,8,2,None,1234,No,walk
10/4/2023 16:34:03,First,6,3,Right,Right side,8,0,dog,4927,No,Bike
10/4/2023 17:08:03,Second,9,easily over 50,Right,Back,6 - 8 hours,2,0,1503,Yes,Bike
10/4/2023 20:00:49,Third,8,50,Right,Right side,7.5,,0,6767,No,Bike
10/4/2023 21:56:14,Fourth,7,10,Right,Left side,8,1,Dog,6864,No,Car
10/4/2023 23:36:34,Fourth,1,5,Right,Right side,7,1,"dog, leopard gecko",8947,No,walk
10/5/2023 1:16:26,Fourth,2,40,Right,Right side,7,2,Dog,7289,No,Bike
10/5/2023 2:39:37,Fourth+,7,40,Right,Back,7.5,2,no,7980,No,Car
10/5/2023 8:18:26,Second,2,20,Right,Right side,6,5,None,1575,No,walk
10/5/2023 9:42:24,Third,7,"Not sure, but maybe 50 texts.",Right,Left side,7 hours.,"0, I have no siblings.","A cat, and a dog.",5970,Yes,Car
10/5/2023 10:42:31,First,6,,Right,Back,8 hours,4,,1111,No,Bus
10/5/2023 10:57:48,Fourth,5,4,Right,Back,7,0,None,6789,No,walk
10/5/2023 13:12:58,First,6,30,Right,Left side,7,1,none,9506,No,walk
10/5/2023 13:13:46,First,6,30,Right,Left side,7,1,none,1304,No,walk
10/5/2023 13:58:18,First,8,15,Right,Stomach,7,1,dog,4782,Yes,walk
10/5/2023 14:00:22,Third,1,20,Right,Back,6.5,1,two cats,5678,No,Bus
10/5/2023 14:09:03,Second,8,I text some people back and fourth all day so maybe like 100,Right,Back,5-9,1,"2 dogs, 1 hamster",1098,No,walk
10/5/2023 14:42:05,Fourth,3,50,Right,Back,8 hours,3,2 dogs,1109,No,walk
10/5/2023 14:49:14,Third,6,50,Left,Right side,7,5,A dog,0695,No,walk
10/5/2023 15:04:33,First,3,30,Right,Left side,7,1,"cat, dog",7856,No,walk
10/5/2023 15:05:15,First,3,30,Right,Left side,7,1,"cat, dog",7856,No,walk
10/5/2023 15:42:02,First,9,30,Right,Right side,8,1,3,8563,No,walk
10/5/2023 15:43:08,Fourth,4,100,Right,Back,8,3,1,8913,No,Car
10/5/2023 15:44:49,Fourth,7,15,Right,Right side,8 hours,1,Dog,3889,No,Bike
10/5/2023 15:58:42,Third,5,50,Right,Back,8,3,Dog,1234,No,Bike
10/5/2023 17:25:59,Fourth,1,"200+ cause i'm abroad, usually not much",Right,Stomach,5,2,,0597,No,Bike
10/5/2023 19:29:02,Second,4,10,Right,Right side,7,1,,1538,No,walk
10/5/2023 19:30:06,Second,4,10,Right,Right side,7,1,,1672,No,walk
10/5/2023 19:47:11,First,8,15,Right,Right side,6,0,No pets,4800,No,Bike
10/5/2023 19:50:26,First,8,15,Right,Right side,6,0,No pets,4800,No,Bike
10/5/2023 21:04:06,First,7,,Right,Left side,6,1,none,7903,Yes,Bike
10/5/2023 21:13:49,First,7,100+,Right,Left side,7-8,1,0,2099,No,Bike
10/5/2023 21:18:56,First,7,100+,Right,Left side,7,1,0,2099,No,Bike
10/5/2023 22:26:38,Fourth,8,20,Right,Back,8,1,Dog,0634,No,Car
10/5/2023 22:27:03,Fourth,4,200,Right,Back,8,3,0,1983,No,Car
10/6/2023 7:00:30,Second,8,Maybe a lot,Right,Stomach,6 or 7,0,"four dogs, four cats",0720,No,Car
10/6/2023 9:57:46,Fourth,6,20,Right,Back,8,1,cat,5789,No,Bike
10/6/2023 10:26:10,First,7,,Right,Left side,6,1,none,7638,Yes,Bike
10/6/2023 10:41:11,First,5,50,Right,Stomach,7,1,cat,7373,No,Bike
10/6/2023 10:44:38,First,4,50,Right,Stomach,7,1,cat,7373,No,Bike
10/6/2023 11:06:26,Third,5,100,Right,Right side,8,3,One dog ,2121,No,Bike
10/6/2023 11:07:25,Third,5,100,Right,Right side,8,3,One dog,2121,No,Bike
10/6/2023 15:44:22,Third,8,300-500,Right,Right side,8,One,"0 in college, back home my mom has a dog. ",4120,No,drive to work bike to class
10/6/2023 15:58:21,Third,4,10,Right,Back,7,2,cat,4729,No,walk
10/6/2023 16:39:50,Fourth,4,5,Right,Back,7,1,0,3568,No,Bus
10/6/2023 18:01:09,First,6,150,Right,Right side,7,3,"Paige, Parker, Brooklyn and Bronx",7280,No,Bike
10/6/2023 18:35:27,Fourth,5,20,Left,Stomach,6,2,Dog - Cat - Rabbit,2345,No,walk
10/6/2023 18:36:20,Fourth,6,20,Right,Stomach,6,2,Dog - cat - rabbit,2345,No,walk
10/6/2023 19:47:30,Fourth,5,50,Right,Right side,8,1,"Dog, Cat",4367,No,Bike
10/6/2023 20:05:26,,,,,,,,,,,
10/6/2023 20:15:57,Third,5,100+,Right,Left side,7,1,0,1046,No,Car
10/6/2023 20:25:20,Second,6,Way too many to remember,Right,Right side,8-10,4,0,4839,No,walk
10/6/2023 20:26:42,Second,6,Way too many to remember.,Right,Right side,8-10,4,0,2093,No,walk
10/6/2023 20:30:44,Third,6,~100,Left,Right side,8,1,Dog,8163,No,Skate
10/6/2023 21:00:53,Third,8,7,Right,Left side,5,1,Dog,0316,Yes,Car
10/6/2023 21:05:15,First,4,10,Right,Right side,9.5 h per day,1,,7203,No,Bike
